Food Category,total_weight,share
Other,263014.1,0.2043
Cooled Fruits,193545.0,0.1504
Dry Beverages,114542.0,0.089
Dry Food Misc.,111384.5,0.0865
Cooled Potatoes,106140.0,0.0825
Cooled Vegetables,104383.0,0.0811
Cooled Mixed Produce,85991.0,0.0668
Dry Proteins,81001.09,0.0629
Dry Vegetables,78868.0,0.0613
Frozen Proteins,74690.0,0.058
Frozen Food Misc.,73644.0,0.0572
