Food Category,total_weight,share
Dry Beverages,576298.0,0.9388
Dry Food Misc.,20675.0,0.0337
Dry Unsorted Salvage,9670.0,0.0158
Dry Vegetables,6318.0,0.0103
Dry Non-Food Misc.,467.0,0.0008
Dry Proteins,255.0,0.0004
Dry Potatoes,204.0,0.0003
