Food Category,total_weight,share
Dry Beverages,130457.0,0.2359
Other,114838.7,0.2076
Dry Food Misc.,81511.4,0.1474
Cooled Fruits,37951.0,0.0686
Dry Vegetables,36554.0,0.0661
Frozen Proteins,35970.0,0.065
Dry Proteins,27242.9,0.0493
Cooled Mixed Produce,26917.0,0.0487
Dry Grains,26104.0,0.0472
Cooled Potatoes,18998.0,0.0344
Dry Fruits,16511.0,0.0299
