Food Category,total_weight,share
Other,84234.0,0.1997
Dry Food Misc.,49627.0,0.1176
Dry Prepared Meals,38018.0,0.0901
Dry Beverages,37445.0,0.0888
Cooled Fruits,37045.0,0.0878
Dry Vegetables,34545.0,0.0819
Dry Proteins,33823.0,0.0802
Frozen Proteins,30663.0,0.0727
Dry Dairy,28939.0,0.0686
Dry Grains,24320.0,0.0576
Dry Fruits,23219.0,0.055
