Food Category,total_weight,share
Other,284898.62,0.229
Cooled Fruits,142025.0,0.1142
Dry Proteins,134478.35,0.1081
Dry Food Misc.,120719.5,0.097
Cooled Vegetables,111828.0,0.0899
Dry Beverages,95189.0,0.0765
Dry Vegetables,89354.0,0.0718
Cooled Potatoes,84359.0,0.0678
Dry Grains,66257.0,0.0533
Frozen Proteins,59819.0,0.0481
Cooled Dairy,54989.5,0.0442
