Food Category,total_weight,share
Other,17836.0,0.1518
Dry Beverages,16046.0,0.1366
Dry Vegetables,15975.0,0.136
Dry Food Misc.,14946.0,0.1272
Dry Proteins,12541.0,0.1068
Dry Grains,10310.0,0.0878
Dry Fruits,10205.0,0.0869
Dry Prepared Meals,5227.0,0.0445
Frozen Proteins,5034.0,0.0428
Frozen Food Misc.,4757.0,0.0405
Cooled Fruits,4603.0,0.0392
