Food Category,total_weight,share
Other,132122.44,0.2479
Dry Beverages,61373.0,0.1152
Dry Proteins,56327.17,0.1057
Cooled Fruits,54531.0,0.1023
Dry Food Misc.,41893.2,0.0786
Frozen Proteins,36895.0,0.0692
Dry Grains,35369.0,0.0664
Cooled Potatoes,33769.0,0.0634
Dry Vegetables,29891.0,0.0561
Cooled Vegetables,27491.0,0.0516
Cooled Mixed Produce,23295.0,0.0437
