Food Category,total_weight,share
Other,40497.5,0.1732
Cooled Fruits,32124.0,0.1374
Dry Beverages,29094.0,0.1244
Cooled Potatoes,24527.0,0.1049
Dry Vegetables,23118.0,0.0989
Dry Proteins,20337.0,0.087
Dry Food Misc.,14981.0,0.0641
Frozen Fruits,14034.0,0.06
Dry Grains,13065.0,0.0559
Frozen Proteins,11852.0,0.0507
Cooled Vegetables,10156.0,0.0434
