Food Category,total_weight,share
Other,139117.4,0.1514
Dry Vegetables,118464.0,0.129
Dry Grains,106927.0,0.1164
Dry Proteins,95594.0,0.1041
Dry Food Misc.,89916.0,0.0979
Cooled Mixed Produce,78760.0,0.0857
Dry Beverages,72827.0,0.0793
Frozen Food Misc.,70628.0,0.0769
Dry Fruits,70217.0,0.0764
Cooled Fruits,43343.0,0.0472
Cooled Potatoes,32800.0,0.0357
