Food Category,total_weight,share
Other,165773.96,0.2139
Dry Beverages,125029.0,0.1613
Dry Vegetables,71956.0,0.0929
Dry Food Misc.,62462.1,0.0806
Dry Proteins,55604.0,0.0718
Frozen Proteins,53906.0,0.0696
Dry Prepared Meals,52900.0,0.0683
Cooled Potatoes,50602.0,0.0653
Dry Grains,50131.0,0.0647
Cooled Fruits,49154.0,0.0634
Dry Fruits,37377.0,0.0482
