Food Category,total_weight,share
Other,492499.94,0.1973
Dry Beverages,332857.0,0.1334
Cooled Fruits,311407.0,0.1248
Dry Proteins,258061.53,0.1034
Cooled Mixed Produce,192305.0,0.0771
Dry Vegetables,178151.0,0.0714
Cooled Potatoes,174674.0,0.07
Dry Food Misc.,148102.4,0.0593
Dry Grains,147089.0,0.0589
Cooled Dairy,134597.0,0.0539
Frozen Proteins,125918.0,0.0505
