Food Category,total_weight,share
Other,48628.0,0.1584
Cooled Fruits,47433.0,0.1545
Dry Proteins,30592.0,0.0997
Cooled Potatoes,29646.0,0.0966
Dry Beverages,26513.0,0.0864
Dry Vegetables,26255.0,0.0855
Dry Fruits,22411.0,0.073
Frozen Proteins,22083.0,0.072
Dry Grains,19822.0,0.0646
Cooled Dairy,19392.0,0.0632
Frozen Prepared Meals,14141.0,0.0461
