Food Category,total_weight,share
Dry Beverages,119897.0,0.2281
Other,77654.08,0.1477
Dry Food Misc.,53270.0,0.1013
Dry Grains,48666.0,0.0926
Dry Proteins,44621.0,0.0849
Dry Vegetables,36861.0,0.0701
Cooled Fruits,34394.0,0.0654
Cooled Potatoes,32444.0,0.0617
Dry Dairy,29279.0,0.0557
Frozen Proteins,25697.0,0.0489
Cooled Vegetables,22850.0,0.0435
