Food Category,total_weight,share
Other,60345.0,0.1836
Dry Beverages,47981.0,0.146
Dry Food Misc.,44589.0,0.1357
Cooled Fruits,39659.0,0.1207
Cooled Potatoes,25790.0,0.0785
Dry Vegetables,25274.0,0.0769
Dry Proteins,22500.0,0.0685
Frozen Proteins,19488.0,0.0593
Dry Grains,18519.0,0.0563
Dry Fruits,12631.0,0.0384
Dry Non-Food Misc.,11879.0,0.0361
