Food Category,total_weight,share
Other,1529382.78,0.2466
Cooled Mixed Produce,882342.0,0.1423
Cooled Fruits,641378.0,0.1034
Dry Beverages,637673.0,0.1028
Frozen Proteins,434574.0,0.0701
Dry Food Misc.,391147.0,0.0631
Cooled Vegetables,362126.0,0.0584
Dry Grains,346719.0,0.0559
Cooled Potatoes,335229.0,0.054
Cooled Food Misc.,329976.0,0.0532
Frozen Food Misc.,312166.0,0.0503
