Agency,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2022-08_delta,2022-09_delta,2022-10_delta,2022-11_delta,2022-12_delta,2023-01_delta,2023-02_delta,2023-03_delta,2023-04_delta,2023-05_delta,2023-06_delta,2023-07_delta,2023-08_delta,2023-09_delta,2023-10_delta,2023-11_delta,2023-12_delta,2024-01_delta,2024-02_delta,2024-03_delta,2024-04_delta,2024-05_delta,2024-06_delta,2024-07_delta,2024-08_delta,2024-09_delta,2024-10_delta,2024-11_delta,2024-12_delta,2025-01_delta,2025-02_delta,2025-03_delta,2025-04_delta,2025-05_delta,2025-06_delta
Food 2 Kids Habersham County,0.0,0.0,1353.0,7664.0,6299.0,7865.0,4700.0,6253.0,6246.0,9295.0,4642.0,6332.0,0.0,2588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1353.0,6311.0,-1365.0,1566.0,-3165.0,1553.0,-7.0,3049.0,-4653.0,1690.0,-6332.0,2588.0,-2588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glade Creek Baptist Church,0.0,790.0,0.0,3411.0,0.0,895.0,2793.0,1161.0,791.0,0.0,2007.0,0.0,1786.0,1118.0,1819.0,0.0,2391.0,0.0,1165.0,1596.0,1949.0,2186.0,3074.0,0.0,2487.0,0.0,2811.0,0.0,2335.0,2324.0,0.0,3229.0,0.0,3676.0,1028.0,0.0,790.0,-790.0,3411.0,-3411.0,895.0,1898.0,-1632.0,-370.0,-791.0,2007.0,-2007.0,1786.0,-668.0,701.0,-1819.0,2391.0,-2391.0,1165.0,431.0,353.0,237.0,888.0,-3074.0,2487.0,-2487.0,2811.0,-2811.0,2335.0,-11.0,-2324.0,3229.0,-3229.0,3676.0,-2648.0,-1028.0
Gold Community Dev. Ministry,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,247.0,177.0,21.0,0.0,621.0,256.0,264.0,287.0,197.0,204.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,-119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,-163.0,-70.0,-156.0,-21.0,621.0,-365.0,8.0,23.0,-90.0,7.0
Goodwill NEGA Habersham,0.0,0.0,0.0,0.0,0.0,0.0,7070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9769.6,0.0,0.0,0.0,0.0,0.0,7070.0,-7070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5998.0,-5998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9769.6
Habersham County MedLink Georgia,0.0,0.0,0.0,6092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.0,-6092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11950.0,-11950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Habersham County Senior Center,0.0,0.0,1042.0,382.0,278.0,409.0,268.0,148.0,190.0,221.0,0.0,42.0,0.0,395.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,924.0,1133.0,1008.0,1074.0,990.0,1128.0,1183.0,1012.0,968.0,946.0,968.0,1012.0,1122.0,2727.0,0.0,1042.0,-660.0,-104.0,131.0,-141.0,-120.0,42.0,31.0,-221.0,42.0,-42.0,395.0,-395.0,161.0,-161.0,0.0,0.0,0.0,0.0,0.0,924.0,209.0,-125.0,66.0,-84.0,138.0,55.0,-171.0,-44.0,-22.0,22.0,44.0,110.0,1605.0
Habersham Homeless Ministries,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,743.0,220.0,0.0,0.0,88.0,317.0,0.0,405.0,413.0,0.0,40.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,-101.0,743.0,-523.0,-220.0,0.0,88.0,229.0,-317.0,405.0,8.0,-413.0,40.0,334.0,-374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Habersham: Habersham County Senior Center Senior Staples Program,644.0,844.0,484.0,984.0,800.0,654.0,880.0,940.0,904.0,1198.0,887.0,1222.0,1422.0,1267.0,1182.0,1308.0,0.0,0.0,0.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,-360.0,500.0,-184.0,-146.0,226.0,60.0,-36.0,294.0,-311.0,335.0,200.0,-155.0,-85.0,126.0,-1308.0,0.0,0.0,0.0,1012.0,-1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hazel Creek Baptist Church,233.0,402.0,1275.0,2489.0,1203.0,457.0,1038.0,351.0,382.0,401.0,1205.0,995.0,386.0,1663.0,0.0,1391.0,52.0,1043.0,778.0,854.0,1249.0,902.0,1059.0,0.0,408.0,618.0,1637.0,50.0,388.0,0.0,2332.0,303.0,1268.0,217.0,209.0,1058.0,169.0,873.0,1214.0,-1286.0,-746.0,581.0,-687.0,31.0,19.0,804.0,-210.0,-609.0,1277.0,-1663.0,1391.0,-1339.0,991.0,-265.0,76.0,395.0,-347.0,157.0,-1059.0,408.0,210.0,1019.0,-1587.0,338.0,-388.0,2332.0,-2029.0,965.0,-1051.0,-8.0,849.0
Helping Hands Ministry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2710.0,4555.0,2419.0,3076.0,1268.0,1296.0,3936.0,5136.0,1935.0,2020.0,7372.0,6604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2710.0,1845.0,-2136.0,657.0,-1808.0,28.0,2640.0,1200.0,-3201.0,85.0,5352.0,-768.0
