Agency,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2022-08_delta,2022-09_delta,2022-10_delta,2022-11_delta,2022-12_delta,2023-01_delta,2023-02_delta,2023-03_delta,2023-04_delta,2023-05_delta,2023-06_delta,2023-07_delta,2023-08_delta,2023-09_delta,2023-10_delta,2023-11_delta,2023-12_delta,2024-01_delta,2024-02_delta,2024-03_delta,2024-04_delta,2024-05_delta,2024-06_delta,2024-07_delta,2024-08_delta,2024-09_delta,2024-10_delta,2024-11_delta,2024-12_delta,2025-01_delta,2025-02_delta,2025-03_delta,2025-04_delta,2025-05_delta,2025-06_delta
Freedom C.H. Church,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3598.0,2102.0,2283.0,1601.0,1950.0,2391.0,971.0,1390.0,2107.0,850.0,821.0,2069.0,1329.0,759.0,830.0,968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3598.0,-1496.0,181.0,-682.0,349.0,441.0,-1420.0,419.0,717.0,-1257.0,-29.0,1248.0,-740.0,-570.0,71.0,138.0
Freedom Church of God,2006.0,2851.0,12745.0,15260.0,17164.0,469.0,5047.0,2936.0,12431.0,11906.0,7262.0,3081.0,2427.0,3220.0,1164.0,7078.0,4539.0,3067.0,5281.0,3936.0,15112.0,16289.0,4621.0,2622.0,3667.0,6958.0,5677.0,9299.0,5463.0,4970.0,4678.0,5054.0,31787.0,13613.0,16947.0,3608.74,845.0,9894.0,2515.0,1904.0,-16695.0,4578.0,-2111.0,9495.0,-525.0,-4644.0,-4181.0,-654.0,793.0,-2056.0,5914.0,-2539.0,-1472.0,2214.0,-1345.0,11176.0,1177.0,-11668.0,-1999.0,1045.0,3291.0,-1281.0,3622.0,-3836.0,-493.0,-292.0,376.0,26733.0,-18174.0,3334.0,-13338.26
Gordon's Chapel Methodist Church,0.0,1860.0,1999.0,2328.0,2309.0,0.0,1983.0,0.0,0.0,0.0,0.0,0.0,2709.0,0.0,3278.0,0.0,0.0,1908.0,1196.0,1784.0,1401.0,981.0,1819.0,0.0,2668.0,1059.0,1913.0,1207.0,3099.0,1987.0,2459.0,0.0,1833.0,1978.0,3182.0,1124.0,1860.0,139.0,329.0,-19.0,-2309.0,1983.0,-1983.0,0.0,0.0,0.0,0.0,2709.0,-2709.0,3278.0,-3278.0,0.0,1908.0,-712.0,588.0,-383.0,-420.0,838.0,-1819.0,2668.0,-1609.0,854.0,-706.0,1892.0,-1112.0,472.0,-2459.0,1833.0,145.0,1204.0,-2058.0
Huff Grove Baptist Church,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,-114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,-271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hull-Sandford Elementary School,0.0,0.0,0.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,-580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joy Baptist Church,3360.0,229.0,2773.0,1516.0,3094.0,344.0,1511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3131.0,2544.0,-1257.0,1578.0,-2750.0,1167.0,-1511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jubilee Partners,2735.0,2234.0,1799.0,1569.0,2857.0,1672.0,2690.0,2630.0,3422.0,2368.0,2344.0,2331.0,2511.0,2193.0,1488.0,1984.0,2145.0,1934.0,3193.0,2275.0,1802.0,2788.0,3250.0,2385.36,2803.0,2957.0,3200.0,2229.0,2868.0,2321.0,3657.0,3922.0,3823.0,3585.0,2780.0,2785.2,-501.0,-435.0,-230.0,1288.0,-1185.0,1018.0,-60.0,792.0,-1054.0,-24.0,-13.0,180.0,-318.0,-705.0,496.0,161.0,-211.0,1259.0,-918.0,-473.0,986.0,462.0,-864.6399999999999,417.6399999999999,154.0,243.0,-971.0,639.0,-547.0,1336.0,265.0,-99.0,-238.0,-805.0,5.199999999999818
Legacy Baptist Church,0.0,354.0,0.0,471.0,0.0,381.0,0.0,169.0,198.0,212.0,179.0,261.0,0.0,284.0,0.0,357.0,631.0,0.0,0.0,400.0,0.0,507.0,530.0,0.0,0.0,556.0,0.0,691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,-354.0,471.0,-471.0,381.0,-381.0,169.0,29.0,14.0,-33.0,82.0,-261.0,284.0,-284.0,357.0,274.0,-631.0,0.0,400.0,-400.0,507.0,23.0,-530.0,0.0,556.0,-556.0,691.0,-691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madison County MedLink Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7423.0,0.0,0.0,0.0,11028.0,0.0,0.0,0.0,0.0,0.0,4226.0,6860.0,0.0,0.0,0.0,0.0,0.0,2195.0,0.0,0.0,0.0,0.0,0.0,0.0,11578.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7423.0,-7423.0,0.0,0.0,11028.0,-11028.0,0.0,0.0,0.0,0.0,4226.0,2634.0,-6860.0,0.0,0.0,0.0,0.0,2195.0,-2195.0,0.0,0.0,0.0,0.0,0.0,11578.0,-11341.0
Madison: Madison County Senior Center Senior Staples Program,1227.0,530.0,0.0,1496.0,1233.0,0.0,1193.0,463.0,1671.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-697.0,-530.0,1496.0,-263.0,-1233.0,1193.0,-730.0,1208.0,-1428.0,-243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
