Agency,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2022-08_delta,2022-09_delta,2022-10_delta,2022-11_delta,2022-12_delta,2023-01_delta,2023-02_delta,2023-03_delta,2023-04_delta,2023-05_delta,2023-06_delta,2023-07_delta,2023-08_delta,2023-09_delta,2023-10_delta,2023-11_delta,2023-12_delta,2024-01_delta,2024-02_delta,2024-03_delta,2024-04_delta,2024-05_delta,2024-06_delta,2024-07_delta,2024-08_delta,2024-09_delta,2024-10_delta,2024-11_delta,2024-12_delta,2025-01_delta,2025-02_delta,2025-03_delta,2025-04_delta,2025-05_delta,2025-06_delta
DECAL Grant Oglethorpe Elementary School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2070.0,699.0,674.0,1139.0,907.0,897.0,1258.0,940.0,1427.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2070.0,-1371.0,-25.0,465.0,-232.0,-10.0,361.0,-318.0,487.0,-327.0,-1100.0
Decal Grant Gaines Elementary School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1978.0,699.0,1701.0,3402.0,0.0,0.0,1296.0,625.0,4285.0,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1978.0,-1279.0,1002.0,1701.0,-3402.0,0.0,1296.0,-671.0,3660.0,-3455.0,-830.0
Decal Grant Stroud Elementary School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992.0,699.0,712.0,1345.0,996.0,897.0,1070.0,1196.0,4274.0,1113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992.0,-1293.0,13.0,633.0,-349.0,-99.0,173.0,126.0,3078.0,-3161.0,-1113.0
Designing Minds Enterprises INC,0.0,0.0,0.0,0.0,0.0,0.0,8786.0,727.0,14003.0,5755.0,13968.0,4056.0,8464.0,5871.0,14071.0,3663.0,3939.0,3247.0,9846.0,5588.0,3776.0,6830.0,11947.0,1305.0,8684.0,6738.0,4472.0,1873.0,4543.0,6570.0,1146.0,740.0,5267.0,1416.0,5421.0,3620.0,0.0,0.0,0.0,0.0,0.0,8786.0,-8059.0,13276.0,-8248.0,8213.0,-9912.0,4408.0,-2593.0,8200.0,-10408.0,276.0,-692.0,6599.0,-4258.0,-1812.0,3054.0,5117.0,-10642.0,7379.0,-1946.0,-2266.0,-2599.0,2670.0,2027.0,-5424.0,-406.0,4527.0,-3851.0,4005.0,-1801.0
Detox ABHS (CSP/CSU),0.0,0.0,0.0,267.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,28.0,-295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Divergent Recovery Center, Inc",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,972.0,1177.0,2149.0,2343.0,677.0,2460.0,977.0,1738.0,1755.0,2583.0,1664.0,1168.0,1205.0,1436.0,2235.0,1486.0,1622.0,1776.0,1781.0,1611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,82.0,205.0,972.0,194.0,-1666.0,1783.0,-1483.0,761.0,17.0,828.0,-919.0,-496.0,37.0,231.0,799.0,-749.0,136.0,154.0,5.0,-170.0
Downtown Ministries,0.0,770.0,18.0,103.0,0.0,0.0,126.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,772.0,330.0,50.0,275.0,369.0,229.0,189.0,238.0,0.0,0.0,312.0,404.0,412.0,349.0,0.0,170.0,318.0,266.0,254.0,65.0,182.0,770.0,-752.0,85.0,-103.0,0.0,126.0,-80.0,-46.0,0.0,0.0,0.0,0.0,0.0,455.0,317.0,-442.0,-280.0,225.0,94.0,-140.0,-40.0,49.0,-238.0,0.0,312.0,92.0,8.0,-63.0,-349.0,170.0,148.0,-52.0,-12.0,-189.0,117.0
EADC dba New Dawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,1693.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,1597.0,-1547.0,-146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Athens Development Corp.,491.0,1678.0,1653.0,477.0,0.0,0.0,0.0,0.0,0.0,775.0,0.0,0.0,370.0,274.0,134.0,0.0,289.0,0.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,12959.0,11890.0,12121.0,11809.0,11986.0,0.0,12428.0,7860.0,12426.0,11739.0,29584.0,1187.0,-25.0,-1176.0,-477.0,0.0,0.0,0.0,0.0,775.0,-775.0,0.0,370.0,-96.0,-140.0,-134.0,289.0,-289.0,296.0,-296.0,0.0,0.0,0.0,0.0,0.0,12959.0,-1069.0,231.0,-312.0,177.0,-11986.0,12428.0,-4568.0,4566.0,-687.0,17845.0
F2K360 CLARKE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1552.0,0.0,10194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1516.0,-1552.0,10194.0,-10194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOOD BANK OF NEGA,11683.0,10483.0,9177.0,25511.0,13753.0,57164.0,60734.0,11794.0,23432.0,6803.0,4355.0,22428.0,270.0,22689.0,45188.0,38811.0,78129.0,83544.0,28348.0,22524.0,60484.0,8847.0,1319.0,10603.0,22648.0,42735.0,12958.0,23748.0,60112.0,20728.0,3574.0,36221.0,100746.0,17968.0,3402.0,38040.8,-1200.0,-1306.0,16334.0,-11758.0,43411.0,3570.0,-48940.0,11638.0,-16629.0,-2448.0,18073.0,-22158.0,22419.0,22499.0,-6377.0,39318.0,5415.0,-55196.0,-5824.0,37960.0,-51637.0,-7528.0,9284.0,12045.0,20087.0,-29777.0,10790.0,36364.0,-39384.0,-17154.0,32647.0,64525.0,-82778.0,-14566.0,34638.8
FOOD BANK OF NORTHEAST GEORGIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2746.0,-2746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faith Today Ministries,624.0,988.0,1062.0,914.0,616.0,712.0,783.0,911.0,765.0,435.0,699.0,831.0,986.0,760.0,841.0,1049.0,704.0,889.0,907.0,686.0,514.0,363.0,1559.0,432.0,309.0,779.0,664.0,619.0,982.0,708.0,418.0,603.0,419.0,791.0,833.0,700.0,364.0,74.0,-148.0,-298.0,96.0,71.0,128.0,-146.0,-330.0,264.0,132.0,155.0,-226.0,81.0,208.0,-345.0,185.0,18.0,-221.0,-172.0,-151.0,1196.0,-1127.0,-123.0,470.0,-115.0,-45.0,363.0,-274.0,-290.0,185.0,-184.0,372.0,42.0,-133.0
Family Counseling Service,2585.0,3803.0,3127.0,3097.0,3814.0,2374.5,2021.0,1846.0,3580.0,2028.0,2077.0,4015.0,2246.0,4752.0,3821.0,3286.0,2123.0,1903.0,2009.0,1807.0,2287.0,2110.0,2517.0,1331.09,1928.0,2910.0,1900.0,1669.0,2001.0,1778.0,1825.0,1383.0,3389.0,1776.0,3566.0,1922.0,1218.0,-676.0,-30.0,717.0,-1439.5,-353.5,-175.0,1734.0,-1552.0,49.0,1938.0,-1769.0,2506.0,-931.0,-535.0,-1163.0,-220.0,106.0,-202.0,480.0,-177.0,407.0,-1185.91,596.9100000000001,982.0,-1010.0,-231.0,332.0,-223.0,47.0,-442.0,2006.0,-1613.0,1790.0,-1644.0
Family Promise Athens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,47.0
Farm to Neighborhood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,13692.0,24945.0,48763.0,40615.0,38229.0,48813.0,31525.0,56767.0,45180.0,1657.0,53495.0,72193.0,61397.0,38965.0,97254.0,106752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,-3650.0,13692.0,11253.0,23818.0,-8148.0,-2386.0,10584.0,-17288.0,25242.0,-11587.0,-43523.0,51838.0,18698.0,-10796.0,-22432.0,58289.0,9498.0
"Feed My Sheep, LTD",4706.0,3263.0,2073.0,3013.0,2974.0,13410.0,4744.0,1989.0,2421.0,1710.0,2777.0,3540.0,1950.0,3654.0,3799.0,2916.0,2393.0,2602.0,4232.0,4040.0,2955.0,4805.0,2140.0,597.18,5901.0,5068.0,1821.0,6358.0,2013.0,1921.0,1633.0,4650.0,7076.0,1587.0,1635.0,1462.16,-1443.0,-1190.0,940.0,-39.0,10436.0,-8666.0,-2755.0,432.0,-711.0,1067.0,763.0,-1590.0,1704.0,145.0,-883.0,-523.0,209.0,1630.0,-192.0,-1085.0,1850.0,-2665.0,-1542.8200000000002,5303.82,-833.0,-3247.0,4537.0,-4345.0,-92.0,-288.0,3017.0,2426.0,-5489.0,48.0,-172.83999999999992
First AME Church of Athens,2594.0,4706.0,3715.0,4273.0,3266.0,1087.0,1518.0,4104.0,4345.0,3399.0,4104.0,3258.0,4142.0,4492.0,3170.0,5172.0,3614.0,2425.0,3137.0,4137.0,3948.0,1384.0,3544.0,1795.0,3043.0,5315.0,4441.0,4969.0,3024.0,3196.0,3509.0,4416.0,4734.0,5042.0,5195.0,5107.0,2112.0,-991.0,558.0,-1007.0,-2179.0,431.0,2586.0,241.0,-946.0,705.0,-846.0,884.0,350.0,-1322.0,2002.0,-1558.0,-1189.0,712.0,1000.0,-189.0,-2564.0,2160.0,-1749.0,1248.0,2272.0,-874.0,528.0,-1945.0,172.0,313.0,907.0,318.0,308.0,153.0,-88.0
First Baptist Church of Athens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0
First United Methodist Church,0.0,503.0,99.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0,0.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.0,-404.0,-18.0,-81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0,-516.0,595.0,-595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food 2 Kids Clarke County,0.0,7200.0,2965.0,19305.0,10127.0,17465.0,10868.0,16414.0,14768.0,18425.0,10595.0,15830.0,177.0,18543.0,32625.0,3916.0,13397.0,90.0,11947.0,11186.0,8127.0,8209.0,7267.0,0.0,21691.0,808.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7200.0,-4235.0,16340.0,-9178.0,7338.0,-6597.0,5546.0,-1646.0,3657.0,-7830.0,5235.0,-15653.0,18366.0,14082.0,-28709.0,9481.0,-13307.0,11857.0,-761.0,-3059.0,82.0,-942.0,-7267.0,21691.0,-20883.0,-808.0,0.0,600.0,-600.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Bank NEGA Senior Staples Program (Athens Warehouse),2975.0,8216.0,3924.0,6080.0,3160.0,3247.0,6837.0,4758.0,0.0,5581.0,5610.0,6541.0,6536.0,5584.0,7640.0,11934.0,8546.0,10645.0,3486.0,0.0,24468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14661.0,0.0,993.0,0.0,0.0,0.0,0.0,5241.0,-4292.0,2156.0,-2920.0,87.0,3590.0,-2079.0,-4758.0,5581.0,29.0,931.0,-5.0,-952.0,2056.0,4294.0,-3388.0,2099.0,-7159.0,-3486.0,24468.0,-24468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14661.0,-14661.0,993.0,-993.0,0.0,0.0,0.0
Foothills (Clarke) Regional High School,64.0,65.0,56.0,53.0,54.0,81.0,413.0,0.0,0.0,262.0,0.0,38.0,82.0,63.0,83.0,172.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-9.0,-3.0,1.0,27.0,332.0,-413.0,0.0,262.0,-262.0,38.0,44.0,-19.0,20.0,89.0,-90.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fowler's Farmers Market,0.0,0.0,3380.0,3754.0,4681.0,5162.0,8315.0,1760.0,1651.0,2538.0,5041.0,1705.0,7282.0,8711.0,4977.0,6673.0,14708.0,11646.0,17506.0,13131.0,12436.0,9804.0,26537.72,0.0,22257.0,34233.0,17678.0,9775.0,15957.0,15934.0,21607.0,17133.0,6152.0,11756.0,0.0,0.0,0.0,3380.0,374.0,927.0,481.0,3153.0,-6555.0,-109.0,887.0,2503.0,-3336.0,5577.0,1429.0,-3734.0,1696.0,8035.0,-3062.0,5860.0,-4375.0,-695.0,-2632.0,16733.72,-26537.72,22257.0,11976.0,-16555.0,-7903.0,6182.0,-23.0,5673.0,-4474.0,-10981.0,5604.0,-11756.0,0.0
Frais Church,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7641.0,-7641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Freedom From Bondage, Inc.",638.0,1697.0,992.0,1328.0,1382.0,575.0,1319.0,605.0,1046.0,1440.0,1182.0,1432.0,2294.0,3042.0,2262.0,3326.0,1348.0,514.0,675.0,667.0,1348.0,1811.0,613.0,523.0,583.0,848.0,103.0,0.0,210.0,0.0,0.0,181.0,274.0,410.0,372.0,266.0,1059.0,-705.0,336.0,54.0,-807.0,744.0,-714.0,441.0,394.0,-258.0,250.0,862.0,748.0,-780.0,1064.0,-1978.0,-834.0,161.0,-8.0,681.0,463.0,-1198.0,-90.0,60.0,265.0,-745.0,-103.0,210.0,-210.0,0.0,181.0,93.0,136.0,-38.0,-106.0
Fresh Wind Recovery Ministry (Men's),5270.0,5583.0,7390.0,3541.0,5030.0,1380.0,4477.0,3705.0,2434.0,2417.0,3558.0,3912.0,2936.0,3348.0,1933.0,4339.0,3544.0,3614.0,5158.0,1790.0,3283.0,1774.0,3338.0,4561.0,3566.0,4354.0,4863.0,7908.0,4392.0,4876.0,2624.0,2532.0,2542.0,3992.0,4032.0,3038.0,313.0,1807.0,-3849.0,1489.0,-3650.0,3097.0,-772.0,-1271.0,-17.0,1141.0,354.0,-976.0,412.0,-1415.0,2406.0,-795.0,70.0,1544.0,-3368.0,1493.0,-1509.0,1564.0,1223.0,-995.0,788.0,509.0,3045.0,-3516.0,484.0,-2252.0,-92.0,10.0,1450.0,40.0,-994.0
Fresh Wind Recovery Ministry (Women's),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,1375.0,2714.0,2752.0,684.0,1757.0,1824.0,576.0,773.0,879.0,1851.0,2355.0,2507.0,2941.0,2143.0,1724.0,1816.0,2767.0,2396.0,3556.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,915.0,1339.0,38.0,-2068.0,1073.0,67.0,-1248.0,197.0,106.0,972.0,504.0,152.0,434.0,-798.0,-419.0,92.0,951.0,-371.0,1160.58
GPRGC Clarke Senior Assistance,1048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1773.0,-1773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaines Elementary School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2779.0,17177.0,4410.0,9315.0,12129.0,8706.0,11860.0,17042.0,20027.0,3107.0,11763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2779.0,14398.0,-12767.0,4905.0,2814.0,-3423.0,3154.0,5182.0,2985.0,-16920.0,8656.0,-11763.0
"God's Healing Hands, Inc.",1104.0,3283.0,2195.0,3211.0,2784.0,2605.0,5613.0,2785.0,4054.0,3138.0,3724.0,5275.0,5553.0,4341.0,7155.0,4092.0,6610.0,4947.0,14164.0,6724.0,6094.0,5062.0,8727.0,3094.0,5755.0,7096.0,8152.0,6665.0,7431.0,5710.0,7766.0,6486.0,11205.0,7086.0,5644.0,5242.0,2179.0,-1088.0,1016.0,-427.0,-179.0,3008.0,-2828.0,1269.0,-916.0,586.0,1551.0,278.0,-1212.0,2814.0,-3063.0,2518.0,-1663.0,9217.0,-7440.0,-630.0,-1032.0,3665.0,-5633.0,2661.0,1341.0,1056.0,-1487.0,766.0,-1721.0,2056.0,-1280.0,4719.0,-4119.0,-1442.0,-402.0
"God's Helping Hands (Of Athens, GA)",810.0,777.0,379.0,2130.0,4723.0,1463.0,0.0,878.0,1098.0,805.0,475.0,400.0,0.0,0.0,0.0,0.0,212.0,1185.0,3768.0,1436.0,898.0,839.0,1133.0,0.0,768.0,1842.0,864.0,3102.0,2112.0,1248.0,2570.0,806.0,1415.0,3127.0,1988.0,1938.0,-33.0,-398.0,1751.0,2593.0,-3260.0,-1463.0,878.0,220.0,-293.0,-330.0,-75.0,-400.0,0.0,0.0,0.0,212.0,973.0,2583.0,-2332.0,-538.0,-59.0,294.0,-1133.0,768.0,1074.0,-978.0,2238.0,-990.0,-864.0,1322.0,-1764.0,609.0,1712.0,-1139.0,-50.0
"Goodwill, Eastside Athens",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12594.0,0.0,0.0,0.0,0.0,13965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12594.0,-12594.0,0.0,0.0,0.0,13965.0,-13965.0,0.0,0.0,0.0,0.0,0.0,0.0
Hill Chapel Baptist Church,12618.0,11583.0,12136.0,15752.0,12937.0,10788.0,11715.0,9780.0,10820.0,12106.0,11493.0,13176.0,14439.0,15031.0,13272.0,14127.0,18489.0,12231.0,16037.0,12794.0,10541.0,14689.0,14069.0,13021.0,16358.0,11878.0,12786.0,16803.0,15474.0,12600.0,1953.0,13280.0,14938.0,12838.0,12632.0,13185.0,-1035.0,553.0,3616.0,-2815.0,-2149.0,927.0,-1935.0,1040.0,1286.0,-613.0,1683.0,1263.0,592.0,-1759.0,855.0,4362.0,-6258.0,3806.0,-3243.0,-2253.0,4148.0,-620.0,-1048.0,3337.0,-4480.0,908.0,4017.0,-1329.0,-2874.0,-10647.0,11327.0,1658.0,-2100.0,-206.0,553.0
Holy Cross Lutheran Church,0.0,2070.0,4059.0,2021.0,3303.0,3425.0,2821.0,3040.0,1959.0,3312.0,5277.0,0.0,0.0,4708.0,3828.0,2011.0,7454.0,4935.0,10208.0,6013.0,5299.0,5996.0,4632.0,0.0,0.0,10683.0,4769.0,6301.0,6044.0,9284.0,7982.0,8884.0,9255.0,5167.0,4528.0,0.0,2070.0,1989.0,-2038.0,1282.0,122.0,-604.0,219.0,-1081.0,1353.0,1965.0,-5277.0,0.0,4708.0,-880.0,-1817.0,5443.0,-2519.0,5273.0,-4195.0,-714.0,697.0,-1364.0,-4632.0,0.0,10683.0,-5914.0,1532.0,-257.0,3240.0,-1302.0,902.0,371.0,-4088.0,-639.0,-4528.0
Hope House Recovery Inc.,790.0,0.0,0.0,777.0,258.0,865.0,0.0,1641.0,722.0,3601.0,780.0,1430.0,1575.0,2531.0,2300.0,2095.0,3795.0,964.0,4976.0,2130.0,887.0,521.0,2511.0,0.0,734.0,802.0,2075.0,3652.0,2385.0,2578.0,1409.0,2370.0,4832.0,3232.0,793.0,984.0,-790.0,0.0,777.0,-519.0,607.0,-865.0,1641.0,-919.0,2879.0,-2821.0,650.0,145.0,956.0,-231.0,-205.0,1700.0,-2831.0,4012.0,-2846.0,-1243.0,-366.0,1990.0,-2511.0,734.0,68.0,1273.0,1577.0,-1267.0,193.0,-1169.0,961.0,2462.0,-1600.0,-2439.0,191.0
Iglesia Pentecostal Tabernaculo de Athens,6889.0,7235.0,4673.0,6925.0,4374.0,3899.0,12311.0,7142.0,8035.0,6665.0,9268.0,6486.0,3761.0,8596.0,4273.0,8583.0,7120.0,7121.0,4048.0,6724.0,7385.0,6056.0,5555.0,4957.0,6135.0,4786.0,2709.0,5325.0,4159.0,3445.0,6332.0,5281.0,4111.0,4979.0,3614.0,3383.0,346.0,-2562.0,2252.0,-2551.0,-475.0,8412.0,-5169.0,893.0,-1370.0,2603.0,-2782.0,-2725.0,4835.0,-4323.0,4310.0,-1463.0,1.0,-3073.0,2676.0,661.0,-1329.0,-501.0,-598.0,1178.0,-1349.0,-2077.0,2616.0,-1166.0,-714.0,2887.0,-1051.0,-1170.0,868.0,-1365.0,-231.0
Inter-Community Council Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9590.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9590.0,-9590.0,0.0,119.0,-119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juvenile Offender Advocate Inc. (JOA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,-185.0,0.0,0.0,0.0,0.0,0.0
La Nueva Jerusalem,998.0,403.0,843.0,986.0,532.0,1014.0,866.0,397.0,691.0,521.0,550.0,1032.0,686.0,935.0,1066.0,824.0,526.0,755.0,543.0,649.0,816.0,382.0,389.0,523.0,604.0,424.0,593.0,271.0,363.0,561.0,729.0,625.0,553.0,825.0,1536.0,283.0,-595.0,440.0,143.0,-454.0,482.0,-148.0,-469.0,294.0,-170.0,29.0,482.0,-346.0,249.0,131.0,-242.0,-298.0,229.0,-212.0,106.0,167.0,-434.0,7.0,134.0,81.0,-180.0,169.0,-322.0,92.0,198.0,168.0,-104.0,-72.0,272.0,711.0,-1253.0
