Agency,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2022-08_delta,2022-09_delta,2022-10_delta,2022-11_delta,2022-12_delta,2023-01_delta,2023-02_delta,2023-03_delta,2023-04_delta,2023-05_delta,2023-06_delta,2023-07_delta,2023-08_delta,2023-09_delta,2023-10_delta,2023-11_delta,2023-12_delta,2024-01_delta,2024-02_delta,2024-03_delta,2024-04_delta,2024-05_delta,2024-06_delta,2024-07_delta,2024-08_delta,2024-09_delta,2024-10_delta,2024-11_delta,2024-12_delta,2025-01_delta,2025-02_delta,2025-03_delta,2025-04_delta,2025-05_delta,2025-06_delta
HighPoint Community Worship Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5509.0,4770.0,4017.0,2925.0,5233.0,2525.0,3864.0,2172.0,4105.0,4908.0,4375.0,6654.0,3462.0,8963.0,7441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5509.0,-739.0,-753.0,-1092.0,2308.0,-2708.0,1339.0,-1692.0,1933.0,803.0,-533.0,2279.0,-3192.0,5501.0,-1522.0
Hill Street Baptist Church,2435.0,781.0,816.0,914.0,189.0,500.0,1634.0,567.0,838.0,1220.0,597.0,589.0,695.0,993.0,1264.0,1507.0,1317.0,1073.0,644.0,857.0,490.0,1899.0,969.0,687.0,145.0,1809.0,488.0,0.0,2627.0,931.0,360.0,264.0,1042.0,1008.0,1853.0,1797.0,-1654.0,35.0,98.0,-725.0,311.0,1134.0,-1067.0,271.0,382.0,-623.0,-8.0,106.0,298.0,271.0,243.0,-190.0,-244.0,-429.0,213.0,-367.0,1409.0,-930.0,-282.0,-542.0,1664.0,-1321.0,-488.0,2627.0,-1696.0,-571.0,-96.0,778.0,-34.0,845.0,-56.0
Martin Baptist Church,8847.0,7637.0,8293.0,17127.0,0.0,5664.0,6951.0,7355.0,12533.0,0.0,8096.0,8578.0,12806.0,0.0,7547.0,6721.0,8522.0,6835.0,4886.0,8213.0,8152.0,8372.0,7100.0,8152.0,7513.0,7026.0,15580.0,0.0,7517.0,7067.0,6399.0,9256.0,16888.0,0.0,6999.0,9120.0,-1210.0,656.0,8834.0,-17127.0,5664.0,1287.0,404.0,5178.0,-12533.0,8096.0,482.0,4228.0,-12806.0,7547.0,-826.0,1801.0,-1687.0,-1949.0,3327.0,-61.0,220.0,-1272.0,1052.0,-639.0,-487.0,8554.0,-15580.0,7517.0,-450.0,-668.0,2857.0,7632.0,-16888.0,6999.0,2121.0
Miracles Happen Recovery Residence INC,0.0,624.0,332.0,0.0,538.0,479.0,1513.0,1006.0,1155.0,503.0,1637.0,1124.0,1431.0,1679.0,1074.0,961.0,460.0,618.0,974.0,97.0,2877.0,1414.0,1608.0,733.0,2430.0,3551.0,1705.0,2072.0,838.0,1452.0,2122.0,1564.0,3745.0,2245.0,3979.0,5866.0,624.0,-292.0,-332.0,538.0,-59.0,1034.0,-507.0,149.0,-652.0,1134.0,-513.0,307.0,248.0,-605.0,-113.0,-501.0,158.0,356.0,-877.0,2780.0,-1463.0,194.0,-875.0,1697.0,1121.0,-1846.0,367.0,-1234.0,614.0,670.0,-558.0,2181.0,-1500.0,1734.0,1887.0
Neighbors 4 Neighbors,2460.0,2040.0,4275.0,0.0,8421.0,0.0,0.0,5715.0,0.0,0.0,7208.0,0.0,2131.0,9875.0,1240.0,5931.0,9685.0,650.0,0.0,0.0,2183.0,1995.0,4834.0,0.0,2485.0,0.0,3140.0,0.0,1044.0,2043.0,0.0,0.0,2562.0,1900.0,1820.0,2317.0,-420.0,2235.0,-4275.0,8421.0,-8421.0,0.0,5715.0,-5715.0,0.0,7208.0,-7208.0,2131.0,7744.0,-8635.0,4691.0,3754.0,-9035.0,-650.0,0.0,2183.0,-188.0,2839.0,-4834.0,2485.0,-2485.0,3140.0,-3140.0,1044.0,999.0,-2043.0,0.0,2562.0,-662.0,-80.0,497.0
Neighbors 4 Neighbors F2K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,6215.0,10380.0,1780.0,0.0,5606.0,0.0,4234.0,720.0,7956.0,19143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,5821.0,4165.0,-8600.0,-1780.0,5606.0,-5606.0,4234.0,-3514.0,7236.0,11187.0,-19143.0
New Hope Baptist Church Toccoa,193.0,569.0,0.0,236.0,87.0,0.0,344.0,378.0,320.0,79.0,301.0,152.0,382.0,880.0,456.0,763.0,326.0,382.0,518.0,776.0,507.0,757.0,2127.0,1024.0,826.0,917.0,924.0,957.0,443.0,833.0,2675.0,409.0,1110.0,913.0,1536.0,1129.0,376.0,-569.0,236.0,-149.0,-87.0,344.0,34.0,-58.0,-241.0,222.0,-149.0,230.0,498.0,-424.0,307.0,-437.0,56.0,136.0,258.0,-269.0,250.0,1370.0,-1103.0,-198.0,91.0,7.0,33.0,-514.0,390.0,1842.0,-2266.0,701.0,-197.0,623.0,-407.0
Paradise Mountain Ministries,1468.0,1898.0,1448.0,1638.0,2040.0,1371.0,2017.0,2243.0,2191.0,2022.0,2711.0,984.0,1389.0,1929.0,1726.0,1446.0,1386.0,803.0,1009.0,1592.0,1250.0,2063.0,1929.0,997.0,2265.0,1117.0,1149.0,2239.0,2027.0,1401.0,1472.0,1775.0,1933.0,2459.0,1177.0,1714.0,430.0,-450.0,190.0,402.0,-669.0,646.0,226.0,-52.0,-169.0,689.0,-1727.0,405.0,540.0,-203.0,-280.0,-60.0,-583.0,206.0,583.0,-342.0,813.0,-134.0,-932.0,1268.0,-1148.0,32.0,1090.0,-212.0,-626.0,71.0,303.0,158.0,526.0,-1282.0,537.0
Rehoboth Assembly of God,625.0,0.0,251.0,511.0,0.0,252.0,0.0,355.0,0.0,370.0,0.0,0.0,0.0,383.0,130.0,0.0,0.0,365.0,346.0,0.0,0.0,312.0,0.0,0.0,0.0,629.0,0.0,1116.0,0.0,0.0,334.0,0.0,423.0,0.0,1348.0,0.0,-625.0,251.0,260.0,-511.0,252.0,-252.0,355.0,-355.0,370.0,-370.0,0.0,0.0,383.0,-253.0,-130.0,0.0,365.0,-19.0,-346.0,0.0,312.0,-312.0,0.0,0.0,629.0,-629.0,1116.0,-1116.0,0.0,334.0,-334.0,423.0,-423.0,1348.0,-1348.0
Stephens County MedLink Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8468.0,-8468.0,0.0,0.0
Stephens: New Hope BC Senior Staples Program,644.0,844.0,484.0,984.0,800.0,632.0,855.0,869.0,875.0,710.0,527.0,718.0,762.0,693.0,510.0,556.0,0.0,0.0,0.0,0.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,-360.0,500.0,-184.0,-168.0,223.0,14.0,6.0,-165.0,-183.0,191.0,44.0,-69.0,-183.0,46.0,-556.0,0.0,0.0,0.0,528.0,-528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Center for Wellness and Recovery (Toccoa),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0,1026.0,655.0,539.0,622.0,488.0,918.0,1261.0,622.0,498.0,0.0,397.0,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,-366.0,1026.0,-371.0,-116.0,83.0,-134.0,430.0,343.0,-639.0,-124.0,-498.0,397.0,365.0
The Hope Center (Toccoa Soup Kitchen),474.0,734.0,1425.0,1179.0,130.0,230.0,400.0,142.0,0.0,118.0,328.0,543.0,550.0,676.0,502.0,1132.0,1017.0,46.0,968.0,0.0,1652.0,1778.0,623.0,1210.0,0.0,536.0,732.0,1568.0,0.0,639.0,360.0,838.0,513.0,862.0,892.0,899.0,260.0,691.0,-246.0,-1049.0,100.0,170.0,-258.0,-142.0,118.0,210.0,215.0,7.0,126.0,-174.0,630.0,-115.0,-971.0,922.0,-968.0,1652.0,126.0,-1155.0,587.0,-1210.0,536.0,196.0,836.0,-1568.0,639.0,-279.0,478.0,-325.0,349.0,30.0,7.0
The Salvation Army - Toccoa Co,2877.0,5900.0,3213.0,2731.0,3642.0,3709.0,2178.0,1332.0,1460.0,1872.0,0.0,0.0,2644.0,1486.0,0.0,4228.0,2976.0,2414.0,2874.0,3186.0,3513.0,3575.0,4356.0,3935.0,3077.0,3037.0,4474.0,3458.0,4172.0,2943.0,4362.0,5336.0,7544.0,5690.0,2076.0,17642.0,3023.0,-2687.0,-482.0,911.0,67.0,-1531.0,-846.0,128.0,412.0,-1872.0,0.0,2644.0,-1158.0,-1486.0,4228.0,-1252.0,-562.0,460.0,312.0,327.0,62.0,781.0,-421.0,-858.0,-40.0,1437.0,-1016.0,714.0,-1229.0,1419.0,974.0,2208.0,-1854.0,-3614.0,15566.0
The Springs of Toccoa,9000.0,7877.0,9677.0,7193.0,7880.0,5028.0,6893.0,7798.0,6278.0,9678.0,8133.0,3436.0,5382.0,7547.0,5600.0,8031.0,0.0,7859.0,8384.0,7798.0,8372.0,7555.0,8028.0,9758.0,7219.0,7300.0,9360.0,6127.0,2800.0,4304.0,8616.0,6055.0,9437.0,8988.0,8943.0,8619.0,-1123.0,1800.0,-2484.0,687.0,-2852.0,1865.0,905.0,-1520.0,3400.0,-1545.0,-4697.0,1946.0,2165.0,-1947.0,2431.0,-8031.0,7859.0,525.0,-586.0,574.0,-817.0,473.0,1730.0,-2539.0,81.0,2060.0,-3233.0,-3327.0,1504.0,4312.0,-2561.0,3382.0,-449.0,-45.0,-324.0
The Village,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1258.0,1436.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,946.0,260.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1258.0,178.0,-1436.0,0.0,0.0,0.0,0.0,0.0,506.0,440.0,-686.0,-41.0
Voice of Hope SDA Church,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789.0,3370.0,1889.0,1865.0,3531.0,0.0,0.0,3499.0,0.0,1150.0,701.0,3981.0,0.0,3279.0,474.0,1294.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789.0,1581.0,-1481.0,-24.0,1666.0,-3531.0,0.0,3499.0,-3499.0,1150.0,-449.0,3280.0,-3981.0,3279.0,-2805.0,820.48
Zebulon Baptist Church,9687.0,6250.0,7996.0,5241.0,6044.0,3105.0,4623.0,4105.0,3752.0,4790.0,4029.0,3969.0,4982.0,6567.0,3103.0,3169.0,5496.0,3536.0,2986.0,4617.0,5113.0,4431.0,5512.0,5317.0,4392.0,7388.0,4434.0,5825.0,8501.0,3843.0,5816.0,6785.0,5841.0,9127.0,6092.0,7787.0,-3437.0,1746.0,-2755.0,803.0,-2939.0,1518.0,-518.0,-353.0,1038.0,-761.0,-60.0,1013.0,1585.0,-3464.0,66.0,2327.0,-1960.0,-550.0,1631.0,496.0,-682.0,1081.0,-195.0,-925.0,2996.0,-2954.0,1391.0,2676.0,-4658.0,1973.0,969.0,-944.0,3286.0,-3035.0,1695.0
