Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Category
1019,172554,8852,F2KOconee County,F2K Oconee County,476185,,FOOD PANTRY,AT-RISK YOUTH-Agency,PURCH,N-23-10010,3,0,0,0.0,39,OCONEE,0.0,1/9/2024 16:00,1/11/2024 8:47,Price Code 1,TRUCK 2 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,,,NUT'N BETTER CREAMY PEANUT BUTTER - RED SUGAR & SODIUM,Proteins
768,180928,1674,L-110,Living Word Baptist Church,483534,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10073,10,0,0,0.0,270,OCONEE,0.0,5/21/2024 14:00,5/22/2024 7:07,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA TOMATO SAUCE,Vegetables
643,182518,4327,G-131,"Grace Fellowship Church, INC",485121,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10277,13,0,0,0.0,351,OCONEE,0.0,6/27/2024 15:00,6/27/2024 16:34,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA GARBANZO BEANS,Proteins
643,179440,4448,G-131,"Grace Fellowship Church, INC",482053,,FP/USDA,MOBILE PANTRY-Agency,USDA,F-50-90446,46,0,0,0.0,1288,OCONEE,0.0,4/25/2024 15:00,4/25/2024 13:44,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA FROZEN STRAWBERRY FRUIT CUPS,Fruits
768,178864,1047,L-110,Living Word Baptist Church,481478,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10041,16,0,0,0.0,784,OCONEE,0.0,4/16/2024 14:00,4/17/2024 11:06,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA RICE,Grains
643,181193,8991,G-131,"Grace Fellowship Church, INC",483798,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10311,13,0,0,0.0,312,OCONEE,0.0,5/23/2024 14:24,5/28/2024 7:55,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA HAZELNUTS CCC,Proteins
643,173391,8676,G-131,"Grace Fellowship Church, INC",477020,,FP/USDA,MOBILE PANTRY-Agency,LOCAL - LL,C-88-10000,2500,0,0,0.0,2500,OCONEE,0.0,1/25/2024 15:00,1/25/2024 14:29,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,"LFPA PRODUCE, MISC",Mixed Produce
768,182205,8783,L-110,Living Word Baptist Church,484809,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10308,13,0,0,0.0,299,OCONEE,0.0,6/18/2024 14:00,6/18/2024 13:35,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA RAISINS,Fruits
643,182518,9015,G-131,"Grace Fellowship Church, INC",485121,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10314,13,0,0,0.0,637,OCONEE,0.0,6/27/2024 15:00,6/27/2024 16:34,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA RICE CCC,Grains
768,180928,8783,L-110,Living Word Baptist Church,483534,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10308,10,0,0,0.0,230,OCONEE,0.0,5/21/2024 14:00,5/22/2024 7:07,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA RAISINS,Fruits
643,173391,3139,G-131,"Grace Fellowship Church, INC",477020,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10290,25,0,0,0.0,625,OCONEE,0.0,1/25/2024 15:00,1/25/2024 14:29,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA WHOLE ALMONDS DRY ROASTED,Proteins
768,180928,6780,L-110,Living Word Baptist Church,483534,,FP/USDA,MOBILE PANTRY-Agency,USDA,C-50-10024,42,0,0,0.0,1806,OCONEE,0.0,5/21/2024 14:00,5/22/2024 7:07,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA APPLES,Fruits
768,180928,84,L-110,Living Word Baptist Church,483534,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10006,10,0,0,0.0,270,OCONEE,0.0,5/21/2024 14:00,5/22/2024 7:07,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA GREEN BEANS,Vegetables
643,177729,1791,G-131,"Grace Fellowship Church, INC",480348,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10079,13,0,0,0.0,338,OCONEE,0.0,3/28/2024 15:00,3/28/2024 14:25,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA WALNUT HALVES AND PIECES,Proteins
768,175500,1791,L-110,Living Word Baptist Church,478129,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10079,8,0,0,0.0,208,OCONEE,0.0,2/20/2024 14:00,2/23/2024 7:08,Price Code 1,TRUCK 1 MOBILE PANTRY,False,Food Bank of Northeast Georgia,01,30622.0,Bogart,USDA WALNUT HALVES AND PIECES,Proteins
