Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Food Category
1042,179468,8497,H-160,HighPoint Community Worship Center,482081,,FP/USDA,FOOD PANTRY-Agency,USDA,C-50-10048,13,0,0,20.8,416,STEPHENS,0.05,4/26/2024 10:00,4/26/2024 10:08,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30577.0,Toccoa,USDA MANDARIN ORANGES,Fruits
1044,181246,5958,C-185,The Center for Wellness and Recovery (Toccoa),483851,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,C-16-10001,16,0,0,2.88,16,STEPHENS,0.18,5/23/2024 10:33,5/23/2024 10:36,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30577.0,Toccoa,"COOLER FOOD, MISC. SHL",Food Misc.
434,182143,8975,P-114,Paradise Mountain Ministries,FAIMPORT484747,,ON PREMISES (OP),YOUTH-Agency,BLUE RECEIPT-SHL,MCC-07-10001,1,0,0,0.0,1,STEPHENS,0.0,6/10/2024 0:00,6/10/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30577.0,Toccoa,"DAIRY PRODUCTS, SHL RETAIL PICKUPS",Dairy
546,181868,6676,H-137,Hill Street Baptist Church,484472,,FP/USDA,FAITH-BASED-Agency,USDA,C-50-10009,1,0,0,8.1,45,STEPHENS,0.18,6/7/2024 10:30,6/7/2024 6:59,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30577.0,Toccoa,"USDA APPLES, FRESH",Fruits
434,175570,690,P-114,Paradise Mountain Ministries,478198,,ON PREMISES (OP),YOUTH-Agency,BLUE RECEIPT-SHL,W-03-10013,21,0,0,0.63,21,STEPHENS,0.03,2/13/2024 13:42,2/13/2024 11:56,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30577.0,Toccoa,"ASSORTED BEVERAGES, SHL",Beverages
878,176491,84,M-131,Martin Baptist Church,479115,,FP/USDA,EMERGENCY-Agency,USDA,N-50-10006,13,0,0,0.0,351,STEPHENS,0.0,3/4/2024 14:33,3/5/2024 10:34,Price Code 1,TRUCK 2 MOBILE PANTRY,False,Rabun Warehouse,02,30557.0,Martin,USDA GREEN BEANS,Vegetables
704,172559,50,Z-100,Zebulon Baptist Church,476190,,FP/GNAP/USDA,FOOD PANTRY-Agency,LOCAL - LL,W-16-10002,235,0,0,42.3,235,STEPHENS,0.18,1/4/2024 8:46,1/4/2024 13:51,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30577.0,Toccoa,MISC. FOOD BOX LL,Food Misc.
704,173253,5938,Z-100,Zebulon Baptist Church,476882,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,C-28-10001,62,0,0,1.86,62,STEPHENS,0.03,1/18/2024 8:46,1/18/2024 13:39,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30577.0,Toccoa,"PRODUCE, FRESH SHL",Mixed Produce
968,178691,8976,C-180,Circle of Hope Transitional Housing,FAIMPORT481306,,ON PREMISES (OP),RESIDENTIAL-Agency,BLUE RECEIPT-SHL,MCC-28-10001,50,0,0,0.0,50,STEPHENS,0.0,4/9/2024 0:00,4/9/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30571.0,Eastanollee,"PRODUCE, SHL RETAIL PICKUPS",Mixed Produce
878,176491,4788,M-131,Martin Baptist Church,479115,,FP/USDA,EMERGENCY-Agency,USDA,F-50-90039,40,0,0,0.0,1600,STEPHENS,0.0,3/4/2024 14:33,3/5/2024 10:34,Price Code 1,TRUCK 2 MOBILE PANTRY,False,Rabun Warehouse,02,30557.0,Martin,USDA CATFISH FILLETS CCC,Proteins
