Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Food Category
526,173706,842,T-118,Towns County Food Pantry,477335,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10021,10,0,0,48.6,270,TOWNS,0.18,1/30/2024 15:21,1/30/2024 13:27,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,USDA DICED TOMATOES NO SALT CCC,Dry Vegetables
526,181091,7083,T-118,Towns County Food Pantry,483696,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,C-50-10029,8,0,0,17.28,96,TOWNS,0.18,5/23/2024 8:00,5/23/2024 7:17,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,"USDA MILD CHEDDAR CHEESE, BLOCK CCC",Cooled Dairy
526,180530,4411,T-118,Towns County Food Pantry,483136,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,F-50-90465,15,0,0,56.7,315,TOWNS,0.18,5/14/2024 9:15,5/14/2024 7:27,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,USDA WILD CAUGHT GULF SHRIMP,Frozen Proteins
526,173364,4788,T-118,Towns County Food Pantry,476993,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,F-50-90039,12,0,0,86.4,480,TOWNS,0.18,1/24/2024 15:21,1/24/2024 7:09,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,USDA CATFISH FILLETS CCC,Frozen Proteins
526,175810,3943,T-118,Towns County Food Pantry,478438,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10268,15,0,0,17.1,570,TOWNS,0.03,2/22/2024 15:21,2/23/2024 7:40,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,USDA APPLE JUICE,Dry Beverages
411,173514,690,M-103,Mt. Zion Ministries - The Refuge,477143,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,W-03-10013,171,0,0,5.13,171,TOWNS,0.03,1/24/2024 14:31,1/24/2024 8:30,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30546.0,Hiawassee,"ASSORTED BEVERAGES, SHL",Dry Beverages
526,179705,2202,T-118,Towns County Food Pantry,482318,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10240,10,0,0,39.6,220,TOWNS,0.18,5/1/2024 15:21,5/1/2024 7:02,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,USDA SPAGHETTI,Dry Grains
411,176736,690,M-103,Mt. Zion Ministries - The Refuge,479359,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,W-03-10013,129,0,0,3.87,129,TOWNS,0.03,3/6/2024 14:31,3/6/2024 8:24,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30546.0,Hiawassee,"ASSORTED BEVERAGES, SHL",Dry Beverages
411,180838,5938,M-103,Mt. Zion Ministries - The Refuge,483444,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,C-28-10001,227,0,0,6.81,227,TOWNS,0.03,5/15/2024 14:31,5/15/2024 8:28,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30546.0,Hiawassee,"PRODUCE, FRESH SHL",Cooled Mixed Produce
526,177119,3943,T-118,Towns County Food Pantry,479740,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10268,12,0,0,13.68,456,TOWNS,0.03,3/13/2024 15:21,3/13/2024 7:25,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,USDA APPLE JUICE,Dry Beverages
526,177621,4715,T-118,Towns County Food Pantry,480241,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,F-50-90461,5,0,0,20.0,200,TOWNS,0.1,3/26/2024 15:21,3/26/2024 7:25,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,USDA ALASKAN POLLACK FISH FILLETS,Frozen Proteins
526,173039,3868,T-118,Towns County Food Pantry,476669,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10267,10,0,0,72.0,400,TOWNS,0.18,1/18/2024 15:21,1/18/2024 7:15,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,USDA ALL PURPOSE FLOUR,Dry Grains
411,176736,683,M-103,Mt. Zion Ministries - The Refuge,479359,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,W-16-10001,398,0,0,71.64,398,TOWNS,0.18,3/6/2024 14:31,3/6/2024 8:24,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Rabun,02-SH,30546.0,Hiawassee,MISC. FOOD BOX SHL,Dry Food Misc.
526,173364,8720,T-118,Towns County Food Pantry,476993,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10305,15,0,0,37.8,210,TOWNS,0.18,1/24/2024 15:21,1/24/2024 7:09,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,USDA MIXED VegetablesCCC,Dry Vegetables
411,179082,6831,M-103,Mt. Zion Ministries - The Refuge,481696,,FP/USDA,FAITH-BASED-Agency,USDA,C-50-10025,49,0,0,0.0,2058,TOWNS,0.0,4/17/2024 14:31,4/18/2024 8:52,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30546.0,Hiawassee,USDA APPLES,Cooled Fruits
526,180530,8783,T-118,Towns County Food Pantry,483136,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10308,10,0,0,41.4,230,TOWNS,0.18,5/14/2024 9:15,5/14/2024 7:27,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30582.0,Young Harris,USDA RAISINS,Dry Fruits
411,179082,170,M-103,Mt. Zion Ministries - The Refuge,481696,,FP/USDA,FAITH-BASED-Agency,USDA,N-50-10007,13,0,0,0.0,364,TOWNS,0.0,4/17/2024 14:31,4/18/2024 8:52,Price Code 1,CUSTOMER PICKUP,False,Rabun Warehouse,02,30546.0,Hiawassee,"USDA CORN, WHOLE KERNEL NO SALT",Dry Vegetables
