County,Agency,Time,dist_volume,delta,pct_change
HABERSHAM_FY2025,Ballew House Outreach,2024-07,150.0,0.0,0.0
HABERSHAM_FY2025,Ballew House Outreach,2024-08,482.0,332.0,221.333
HABERSHAM_FY2025,Ballew House Outreach,2024-09,201.0,-281.0,-58.299
HABERSHAM_FY2025,Ballew House Outreach,2024-10,493.0,292.0,145.274
HABERSHAM_FY2025,Ballew House Outreach,2024-11,983.0,490.0,99.391
HABERSHAM_FY2025,Ballew House Outreach,2024-12,451.0,-532.0,-54.12
HABERSHAM_FY2025,Ballew House Outreach,2025-01,411.0,-40.0,-8.869
HABERSHAM_FY2025,Ballew House Outreach,2025-02,774.0,363.0,88.321
HABERSHAM_FY2025,Ballew House Outreach,2025-03,495.0,-279.0,-36.047
HABERSHAM_FY2025,Ballew House Outreach,2025-04,417.0,-78.0,-15.758
HABERSHAM_FY2025,Ballew House Outreach,2025-05,260.0,-157.0,-37.65
HABERSHAM_FY2025,Ballew House Outreach,2025-06,0.0,-260.0,-100.0
HABERSHAM_FY2025,Breaking Chains Ministries d.b.a Freedom Hill,2024-07,1421.0,0.0,0.0
HABERSHAM_FY2025,Breaking Chains Ministries d.b.a Freedom Hill,2024-08,1960.0,539.0,37.931
HABERSHAM_FY2025,Breaking Chains Ministries d.b.a Freedom Hill,2024-09,1101.0,-859.0,-43.827
HABERSHAM_FY2025,Breaking Chains Ministries d.b.a Freedom Hill,2024-10,0.0,-1101.0,-100.0
HABERSHAM_FY2025,Breaking Chains Ministries d.b.a Freedom Hill,2024-11,6228.0,6228.0,inf
HABERSHAM_FY2025,Breaking Chains Ministries d.b.a Freedom Hill,2024-12,1080.0,-5148.0,-82.659
HABERSHAM_FY2025,Breaking Chains Ministries d.b.a Freedom Hill,2025-01,846.0,-234.0,-21.667
HABERSHAM_FY2025,Breaking Chains Ministries d.b.a Freedom Hill,2025-02,2778.0,1932.0,228.369
HABERSHAM_FY2025,Breaking Chains Ministries d.b.a Freedom Hill,2025-03,0.0,-2778.0,-100.0
HABERSHAM_FY2025,Breaking Chains Ministries d.b.a Freedom Hill,2025-04,1140.0,1140.0,inf
HABERSHAM_FY2025,Breaking Chains Ministries d.b.a Freedom Hill,2025-05,0.0,-1140.0,-100.0
HABERSHAM_FY2025,Breaking Chains Ministries d.b.a Freedom Hill,2025-06,328.0,328.0,inf
HABERSHAM_FY2025,Circle of Hope,2024-07,658.0,0.0,0.0
HABERSHAM_FY2025,Circle of Hope,2024-08,754.0,96.0,14.59
HABERSHAM_FY2025,Circle of Hope,2024-09,143.0,-611.0,-81.034
HABERSHAM_FY2025,Circle of Hope,2024-10,307.0,164.0,114.685
HABERSHAM_FY2025,Circle of Hope,2024-11,464.0,157.0,51.14
HABERSHAM_FY2025,Circle of Hope,2024-12,224.0,-240.0,-51.724
HABERSHAM_FY2025,Circle of Hope,2025-01,226.0,2.0,0.893
HABERSHAM_FY2025,Circle of Hope,2025-02,0.0,-226.0,-100.0
HABERSHAM_FY2025,Circle of Hope,2025-03,296.0,296.0,inf
HABERSHAM_FY2025,Circle of Hope,2025-04,314.0,18.0,6.081
HABERSHAM_FY2025,Circle of Hope,2025-05,0.0,-314.0,-100.0
HABERSHAM_FY2025,Circle of Hope,2025-06,604.0,604.0,inf
HABERSHAM_FY2025,Clarkesville Church of God,2024-07,7498.09,0.0,0.0
HABERSHAM_FY2025,Clarkesville Church of God,2024-08,4420.0,-3078.09,-41.052
HABERSHAM_FY2025,Clarkesville Church of God,2024-09,2294.0,-2126.0,-48.1
HABERSHAM_FY2025,Clarkesville Church of God,2024-10,4842.0,2548.0,111.072
HABERSHAM_FY2025,Clarkesville Church of God,2024-11,4352.0,-490.0,-10.12
HABERSHAM_FY2025,Clarkesville Church of God,2024-12,4624.0,272.0,6.25
HABERSHAM_FY2025,Clarkesville Church of God,2025-01,3083.0,-1541.0,-33.326
HABERSHAM_FY2025,Clarkesville Church of God,2025-02,4645.0,1562.0,50.665
HABERSHAM_FY2025,Clarkesville Church of God,2025-03,4528.0,-117.0,-2.519
HABERSHAM_FY2025,Clarkesville Church of God,2025-04,4986.0,458.0,10.115
HABERSHAM_FY2025,Clarkesville Church of God,2025-05,3527.0,-1459.0,-29.262
HABERSHAM_FY2025,Clarkesville Church of God,2025-06,4524.0,997.0,28.268
HABERSHAM_FY2025,Clarkesville Soup Kitchen,2024-07,1160.0,0.0,0.0
HABERSHAM_FY2025,Clarkesville Soup Kitchen,2024-08,733.0,-427.0,-36.81
HABERSHAM_FY2025,Clarkesville Soup Kitchen,2024-09,703.0,-30.0,-4.093
HABERSHAM_FY2025,Clarkesville Soup Kitchen,2024-10,1079.0,376.0,53.485
HABERSHAM_FY2025,Clarkesville Soup Kitchen,2024-11,1427.0,348.0,32.252
HABERSHAM_FY2025,Clarkesville Soup Kitchen,2024-12,994.0,-433.0,-30.343
HABERSHAM_FY2025,Clarkesville Soup Kitchen,2025-01,601.0,-393.0,-39.537
HABERSHAM_FY2025,Clarkesville Soup Kitchen,2025-02,1462.0,861.0,143.261
HABERSHAM_FY2025,Clarkesville Soup Kitchen,2025-03,365.0,-1097.0,-75.034
HABERSHAM_FY2025,Clarkesville Soup Kitchen,2025-04,1015.0,650.0,178.082
HABERSHAM_FY2025,Clarkesville Soup Kitchen,2025-05,678.0,-337.0,-33.202
HABERSHAM_FY2025,Clarkesville Soup Kitchen,2025-06,258.0,-420.0,-61.947
HABERSHAM_FY2025,Cornelia United Methodist Church,2024-07,2229.0,0.0,0.0
HABERSHAM_FY2025,Cornelia United Methodist Church,2024-08,1882.0,-347.0,-15.568
HABERSHAM_FY2025,Cornelia United Methodist Church,2024-09,1795.0,-87.0,-4.623
HABERSHAM_FY2025,Cornelia United Methodist Church,2024-10,2690.0,895.0,49.861
HABERSHAM_FY2025,Cornelia United Methodist Church,2024-11,1239.0,-1451.0,-53.941
HABERSHAM_FY2025,Cornelia United Methodist Church,2024-12,2278.0,1039.0,83.858
HABERSHAM_FY2025,Cornelia United Methodist Church,2025-01,2984.0,706.0,30.992
HABERSHAM_FY2025,Cornelia United Methodist Church,2025-02,2295.0,-689.0,-23.09
HABERSHAM_FY2025,Cornelia United Methodist Church,2025-03,2376.0,81.0,3.529
HABERSHAM_FY2025,Cornelia United Methodist Church,2025-04,2567.0,191.0,8.039
HABERSHAM_FY2025,Cornelia United Methodist Church,2025-05,2041.0,-526.0,-20.491
HABERSHAM_FY2025,Cornelia United Methodist Church,2025-06,1297.0,-744.0,-36.453
