County,Agency,Time,dist_volume,delta,pct_change
OGLETHORPE_FY2024,Oglethorpe School Food Pantry,2024-05,6957.0,6957.0,inf
OGLETHORPE_FY2024,Oglethorpe School Food Pantry,2024-06,0.0,-6957.0,-100.0
OGLETHORPE_FY2024,SWAG Ministries,2023-07 to 2023-08,0.0,0.0,0.0
OGLETHORPE_FY2024,SWAG Ministries,2023-09,2115.0,2115.0,inf
OGLETHORPE_FY2024,SWAG Ministries,2023-10,2891.0,776.0,36.69
OGLETHORPE_FY2024,SWAG Ministries,2023-11,6947.0,4056.0,140.297
OGLETHORPE_FY2024,SWAG Ministries,2023-12,1418.0,-5529.0,-79.588
OGLETHORPE_FY2024,SWAG Ministries,2024-01,2999.0,1581.0,111.495
OGLETHORPE_FY2024,SWAG Ministries,2024-02,1659.0,-1340.0,-44.682
OGLETHORPE_FY2024,SWAG Ministries,2024-03,1111.0,-548.0,-33.032
OGLETHORPE_FY2024,SWAG Ministries,2024-04,1342.0,231.0,20.792
OGLETHORPE_FY2024,SWAG Ministries,2024-05,4678.0,3336.0,248.584
OGLETHORPE_FY2024,SWAG Ministries,2024-06,905.0,-3773.0,-80.654
OGLETHORPE_FY2024,Sonlight Baptist Church,2023-07,0.0,0.0,0.0
OGLETHORPE_FY2024,Sonlight Baptist Church,2023-08,130.0,130.0,inf
OGLETHORPE_FY2024,Sonlight Baptist Church,2023-09,0.0,-130.0,-100.0
OGLETHORPE_FY2024,Sonlight Baptist Church,2023-10,829.0,829.0,inf
OGLETHORPE_FY2024,Sonlight Baptist Church,2023-11,0.0,-829.0,-100.0
OGLETHORPE_FY2024,Sonlight Baptist Church,2023-12 to 2024-01,0.0,0.0,0.0
OGLETHORPE_FY2024,Sonlight Baptist Church,2024-02,639.0,639.0,inf
OGLETHORPE_FY2024,Sonlight Baptist Church,2024-03,0.0,-639.0,-100.0
OGLETHORPE_FY2024,Sonlight Baptist Church,2024-04 to 2024-06,0.0,0.0,0.0
OGLETHORPE_FY2024,Thankful Baptist Church,2023-07,1393.0,0.0,0.0
OGLETHORPE_FY2024,Thankful Baptist Church,2023-08,15195.0,13802.0,990.811
OGLETHORPE_FY2024,Thankful Baptist Church,2023-09,1046.0,-14149.0,-93.116
OGLETHORPE_FY2024,Thankful Baptist Church,2023-10,13534.0,12488.0,1193.881
OGLETHORPE_FY2024,Thankful Baptist Church,2023-11,1134.0,-12400.0,-91.621
OGLETHORPE_FY2024,Thankful Baptist Church,2023-12,12352.0,11218.0,989.242
OGLETHORPE_FY2024,Thankful Baptist Church,2024-01,2121.0,-10231.0,-82.829
OGLETHORPE_FY2024,Thankful Baptist Church,2024-02,12186.0,10065.0,474.54
OGLETHORPE_FY2024,Thankful Baptist Church,2024-03,2393.0,-9793.0,-80.363
OGLETHORPE_FY2024,Thankful Baptist Church,2024-04,15656.0,13263.0,554.242
OGLETHORPE_FY2024,Thankful Baptist Church,2024-05,2213.0,-13443.0,-85.865
OGLETHORPE_FY2024,Thankful Baptist Church,2024-06,14980.0,12767.0,576.909
