Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City,Product Name,Category
321,178702,8973,R-111,Royston Housing Authority,FAIMPORT481316,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,MCC-16-10001,25,0,0,0.0,25,FRANKLIN,0.0,4/8/2024 0:00,4/8/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30662.0,Royston,"COOLER FOOD MISC., SHL RETAIL PICKUP",Food Misc.
179,180696,9026,R-100,Rainbow Pantry,483302,,FP/USDA,FOOD PANTRY-Agency,YELLOW RECEIPT - SHN,N-27-10138,1,0,0,3.96,22,FRANKLIN,0.18,5/23/2024 10:30,5/28/2024 7:55,Price Code 1,TRUCK 1,False,Food Bank of Northeast Georgia,01,30662.0,Royston,"HUNTS DICED TOMATOES BASIL, GARLIC, OREGANO",Vegetables 
179,172361,8878,R-100,Rainbow Pantry,475992,,FP/USDA,FOOD PANTRY-Agency,YELLOW RECEIPT - SHN,N-03-11783,20,0,0,0.0,260,FRANKLIN,0.0,1/5/2024 10:30,1/16/2024 8:22,Price Code 1,CONTACT FOR DELIVERY,False,Food Bank of Northeast Georgia,01,30662.0,Royston,GATORADE FIT CITRUS BERRY,Beverages
157,180273,9042,N-103,New Beginnings Ministry,482879,,ON PREMISES (OP),REHAB-Agency,GNAP,F-40-90059,5,0,0,0.0,120,FRANKLIN,0.0,5/10/2024 10:25,5/10/2024 10:31,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30557.0,Martin,GNAP GROUND TURKEY CHUB 85/15,Proteins
179,176131,84,R-100,Rainbow Pantry,478758,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10006,20,0,0,97.2,540,FRANKLIN,0.18,3/7/2024 10:30,3/8/2024 7:51,Price Code 1,CONTACT FOR DELIVERY,False,Food Bank of Northeast Georgia,01,30662.0,Royston,USDA GREEN BEANS,Vegetables 
973,180613,9014,G-134,The Grace Foundation: Family Transformation ,483219,,ON PREMISES (OP),REHAB-Agency,PURCH,N-27-10136,10,0,521,48.6,270,FRANKLIN,0.18,5/21/2024 10:00,5/21/2024 14:51,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30557.0,Martin,"GREEN BEANS, HARVEST VALLEY",Vegetables 
916,173132,696,W-125,World Outreach Ministries (d/b/a Ignited Church),476762,,FOOD PANTRY,FOOD PANTRY-Agency,LOCAL - LL,W-25-10000,79,0,0,0.0,79,FRANKLIN,0.0,1/16/2024 9:35,1/16/2024 14:12,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30553.0,Lavonia,"ASSORTED SNACK ITEMS, LL",Food Misc.
321,178709,8975,R-111,Royston Housing Authority,FAIMPORT481323,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,MCC-07-10001,277,0,0,0.0,277,FRANKLIN,0.0,4/4/2024 0:00,4/4/2024 0:00,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30662.0,Royston,"DAIRY PRODUCTS, SHL RETAIL PICKUPS",Dairy
973,176026,683,G-134,The Grace Foundation: Family Transformation ,478654,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-16-10001,47,0,0,8.46,47,FRANKLIN,0.18,2/22/2024 12:01,2/22/2024 12:04,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30557.0,Martin,MISC. FOOD BOX SHL,Food Misc.
179,180696,8783,R-100,Rainbow Pantry,483302,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10308,10,0,0,41.4,230,FRANKLIN,0.18,5/23/2024 10:30,5/28/2024 7:55,Price Code 1,TRUCK 1,False,Food Bank of Northeast Georgia,01,30662.0,Royston,USDA RAISINS,Fruits
973,172711,875,G-134,The Grace Foundation: Family Transformation ,476342,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-04-10000,32,0,0,0.0,32,FRANKLIN,0.0,1/8/2024 10:05,1/8/2024 10:10,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30557.0,Martin,"BREAD & BAKERY, ASSORTED SHL",Grains
973,177949,8996,G-134,The Grace Foundation: Family Transformation ,480568,,ON PREMISES (OP),REHAB-Agency,LOCAL - LL,C-07-90662,1,0,0,0.0,14,FRANKLIN,0.0,4/3/2024 11:33,4/3/2024 12:08,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30557.0,Martin,DUNKIN COFFEE CREAMER,Food Misc.
973,182017,5938,G-134,The Grace Foundation: Family Transformation ,484621,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,C-28-10001,170,0,0,5.1,170,FRANKLIN,0.03,6/7/2024 9:49,6/7/2024 9:59,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30557.0,Martin,"PRODUCE, FRESH SHL",Mixed Produce
973,181746,9067,G-134,The Grace Foundation: Family Transformation ,484350,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,N-03-11833,5,0,0,0.0,90,FRANKLIN,0.0,6/7/2024 9:30,6/7/2024 9:23,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30557.0,Martin,DIET DR PEPPER,Beverages
973,176696,5938,G-134,The Grace Foundation: Family Transformation ,479319,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,C-28-10001,50,0,0,1.5,50,FRANKLIN,0.03,3/5/2024 11:36,3/5/2024 11:45,Price Code 1,CUSTOMER PICKUP,False,Sharing Floor Athens,01-SH,30557.0,Martin,"PRODUCE, FRESH SHL",Mixed Produce
321,172763,8901,R-111,Royston Housing Authority,476394,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,N-03-11792,2,0,0,0.0,40,FRANKLIN,0.0,1/11/2024 14:45,1/11/2024 12:16,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30662.0,Royston,PROPEL BLACK CHERRY ,Beverages
973,173383,8910,G-134,The Grace Foundation: Family Transformation ,477012,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,N-03-11796,18,0,0,0.0,180,FRANKLIN,0.0,1/26/2024 8:00,1/26/2024 9:10,Price Code 1,CUSTOMER PICKUP,False,Food Bank of Northeast Georgia,01,30557.0,Martin,DR PEPPER STRAWBERRIES AND CREAM 12 FL OZ,Beverages
