Agency,Recent typical month (lb),Recent vs earlier change (%),Trend (% per month),Recent month-to-month swing (abs. %),Recent months with food (%),Explanation
Royston Housing Authority,384.0,-0.518,0.0156,0.545,0.5,"Typical month now -52% vs earlier (~797 lb → ~384 lb). More up-and-down lately. Same months last year: ~17,735 lb total (median ~1,344 lb; non-zero 100% of months)."
World Outreach Ministries (d/b/a Ignited Church),468.0,-0.379,-0.0812,0.566,1.0,"Steady decline about -8.1% per month. Typical month now -38% vs earlier (~754 lb → ~468 lb). Same months last year: ~8,367 lb total (median ~692 lb; non-zero 92% of months)."
Oasis Community Outreach,0.0,0.0,-28.923,0.0,0.0,Steady decline about -2892.3% per month. Same months last year: ~0 lb total (median ~0 lb; non-zero 0% of months).
Food to Kids Franklin County,0.0,0.0,-15.0178,0.0,0.0,Steady decline about -1501.8% per month. Same months last year: ~0 lb total (median ~0 lb; non-zero 0% of months).
Franklin: Step of Faith Senior Staples Program,0.0,0.0,-13.2905,0.0,0.0,Steady decline about -1329.0% per month. Same months last year: ~57 lb total (median ~0 lb; non-zero 8% of months).
F2K 360 Franklin,0.0,0.0,-11.1486,0.0,0.0,Steady decline about -1114.9% per month. Same months last year: ~0 lb total (median ~0 lb; non-zero 0% of months).
Lavonia Church of God,12426.0,0.044,-0.0012,0.034,0.917,"More up-and-down lately. Same months last year: ~153,157 lb total (median ~12,307 lb; non-zero 100% of months)."
The Grace Foundation: Family Transformation ,5922.0,4.863,0.1255,1.073,0.917,"Bigger swings between months in the recent period. Same months last year: ~67,908 lb total (median ~1,780 lb; non-zero 92% of months)."
