Agency,Recent typical month (lb),Recent vs earlier change (%),Trend (% per month),Recent month-to-month swing (abs. %),Recent months with food (%),Same months last year (context),Explanation
Oglethorpe School Food Pantry,0.0,-1.0,-80.9654,0.0,0.0,"Same months last year: ~13,249 lb total (median ~0 lb; non-zero 33% of months).","Steady decline about -8096.5% per month. Same months last year: ~13,249 lb total (median ~0 lb; non-zero 33% of months)."
Food 2 Kids Oglethorpe County,0.0,-1.0,-0.9418,0.0,0.083,"Same months last year: ~38,271 lb total (median ~97 lb; non-zero 50% of months).","Steady decline about -94.2% per month. Same months last year: ~38,271 lb total (median ~97 lb; non-zero 50% of months)."
Food Bank of NEGA Oglethorpe Community Partner,0.0,0.0,-69.7654,0.0,0.0,Same months last year: ~0 lb total (median ~0 lb; non-zero 0% of months).,Steady decline about -6976.5% per month. Same months last year: ~0 lb total (median ~0 lb; non-zero 0% of months).
Oglethorpe: Oglethorpe County Senior Staples Program,0.0,0.0,-25.6243,0.0,0.0,Same months last year: ~0 lb total (median ~0 lb; non-zero 0% of months).,Steady decline about -2562.4% per month. Same months last year: ~0 lb total (median ~0 lb; non-zero 0% of months).
Sonlight Baptist Church,0.0,0.0,-4.738,0.0,0.083,"Same months last year: ~1,598 lb total (median ~0 lb; non-zero 25% of months).","Steady decline about -473.8% per month. Same months last year: ~1,598 lb total (median ~0 lb; non-zero 25% of months)."
Thankful Baptist Church,6264.0,0.002,0.0048,9.919,0.917,"Same months last year: ~94,203 lb total (median ~7,290 lb; non-zero 100% of months).","Bigger swings between months in the recent period. Same months last year: ~94,203 lb total (median ~7,290 lb; non-zero 100% of months)."
