County,Agency,median_prev,median_recent,median_change_pct,slope_per_month,slope_normalized,mom_vol_prev,mom_vol_recent,nonzero_share_prev,nonzero_share_recent,last_year_median,last_year_total,last_year_nonzero_share,last_year_info,flags,explanations
Hart,Cornerstone Baptist Church,8138.0,7624.0,-0.063,-35.33,-0.0045,0.15,0.11,1.0,0.92,8090.0,93549.0,1.0,"Last year (12 mo): median 8,090 lb, total 93,549 lb, non-zero 100%.",VARIABILITY_UP,"Growing inconsistency. More up-and-down lately. Compared to same months last year: typical month -6% (8,090 lb → 7,624 lb)."
Hart,Food 2 Kids Hart County,0.0,0.0,0.0,-63.02,-63.0202,0.32,0.0,0.42,0.0,0.0,0.0,0.0,"Last year (12 mo): median 0 lb, total 0 lb, non-zero 0%.",DECLINING_TREND,Declining distribution. Steady decline about -6302.0% per month.
Hart,Hart County Cupboard,7153.0,0.0,-1.0,-212.77,-212.7727,0.33,0.0,0.67,0.0,4590.0,80504.0,0.58,"Last year (12 mo): median 4,590 lb, total 80,504 lb, non-zero 58%.",DECLINING_TREND,Declining distribution. Steady decline about -21277.3% per month.
Hart,Hart: Hart County Clothes Closet Senior Staples Program,1450.0,0.0,-1.0,-57.51,-57.5109,0.19,0.0,0.71,0.0,0.0,9915.0,0.42,"Last year (12 mo): median 0 lb, total 9,915 lb, non-zero 42%.",DECLINING_TREND,Declining distribution. Steady decline about -5751.1% per month.
Hart,Hart: Hart County Senior Center Senior Staples Program,408.0,0.0,-1.0,-17.02,-17.0246,0.27,0.0,0.71,0.0,0.0,3027.0,0.42,"Last year (12 mo): median 0 lb, total 3,027 lb, non-zero 42%.",DECLINING_TREND,Declining distribution. Steady decline about -1702.5% per month.
Hart,Helping Hands Ending Hunger,0.0,0.0,0.0,-4.39,-4.3933,0.0,0.0,0.04,0.0,0.0,0.0,0.0,"Last year (12 mo): median 0 lb, total 0 lb, non-zero 0%.",DECLINING_TREND,Declining distribution. Steady decline about -439.3% per month.
Hart,Oak Bower Baptist Church,1028.0,1034.0,0.006,-31.95,-0.0311,2.44,0.61,0.88,0.92,1098.0,15094.0,0.83,"Last year (12 mo): median 1,098 lb, total 15,094 lb, non-zero 83%.",DECLINING_TREND,"Declining distribution. Steady decline about -3.1% per month. Compared to same months last year: typical month -6% (1,098 lb → 1,034 lb)."
